Operator,TD,TVD,TotalFluid,TotalProppant,TopPerf,BottomPerf,FluidType,LateralLength,ChokeTopDescription,MaxFlowingPSI,MaxShutinPSI,FlowGas,FlowWater,SurfaceX,SurfaceY,Z_BelowSurface,Isopach,Porosity,TotalGasBCFPerSection,Temperature,Pressure,KOP,FirstProdDate,minLateralSpacing,numOfOffsetLateralSpacingWells,EUR,IP
P,19148,11125,505169,18878000,11077,19021,SLKW,5910,0.40625,4445,6800,11230,1053,1703397.998,855333.8504,10680,79,0.1001,74.9745,285.6,8272.145455,5116.5,2017,1332.867304,2,7500000,10060.05944
P,19235,11071,488007,11986000,11094,19021,SLKW,5976,0.40625,4943,6955,13685,864,1703411.845,855337.5915,10680,79,0.1001,74.9745,285.6,8272.145455,5114.5,2017,1332.867304,2,7300000,12488.37734
P,18543,12678,336087.1,10066000,13014,18240,SLKW,3869.25,0.21875,8204,9350,7554,189,1780112.776,834801.206,12771,120,0.0488,55.4135,327.42,10498.63275,2082.5,2017,1261.086161,1,7400000,7732.57734
P,18290,10767,315628.8,14188000,10889,18106,SLKW,5457.75,0.375,5232,6455,13725,766,1733594.156,890625.9211,10716,58,0.0796,67.4618,286.32,8308.796727,4986.5,2017,1252.099614,2,4500000,6519.316256
P,16240,10726,345554.8,10978000,10515,16074,SLKW,3993,0.375,4877,5995,12671,696,1733579.222,890625.8136,10716,58,0.0796,67.4618,286.32,8308.796727,4939,2017,1252.099614,1,7000000,12222.91399
L,18398,10686,319015,14409180,11137,18041,SLKW,5178,0.375,5150,5800,10750,1600,1648841,766772,10290,102,0.076,68,277.8,7878.865909,5243,2018,NaN,0,13000000,9650.079803
P,17766,10192,507862.5,14266000,10460,17571,SLKW,5265,0.375,4730,6855,12414,1125,1639397.081,775290.0236,10346,116,0.0955,101.1733,278.92,7934.911727,4805.5,2017,NaN,0,9100000,8114.342857
S,17172,9385,144091.1,10274000,10112,17011,GEL,5338.5,0.46875,4271,6273,18651,528,1614455.678,817103.9465,9461,167,0.11,175.6799,261.22,7065.861841,4504.5,2017,982.7360438,2,11700000,8768.810181
S,17740,9747,57243.86,5174000,10234,17577,GEL,5835.75,0.4375,4887,6247,18017,384,1614475.14,817111.017,9461,167,0.11,175.6799,261.22,7065.861841,4504.5,2017,1004.377255,1,7800000,11526.50213
S,17243,9427,146777.1,10288000,10073,17080,GEL,5464.5,0.46875,4338,6271,19584,408,1614494.601,817118.0876,9461,167,0.11,175.6799,261.22,7065.861841,2354,2017,982.7360438,2,14100000,11689.02036
S,17668,9757,145466.3,10782000,10329,17504,GEL,5781.75,0.46875,3238,6244,15378,192,1614510.831,817125.1915,9461,167,0.11,175.6799,261.22,7065.861841,2733.5,2017,907.8579404,2,10900000,9089.611823
S,17155,9643,133120.4,10240000,10107,16866,GEL,5190,0.46875,4513,6248,18922,720,1625675.019,821287.064,9622,165,0.1168,180.412,264.44,7221.311,4627,2017,975.0085281,2,11300000,12559.93727
S,17255,9646,136891.3,10238000,10124,17078,GEL,5194.5,0.46875,4140,6248,18331,600,1625694.476,821294.1399,9622,165,0.1168,180.412,264.44,7221.311,4689.5,2017,841.6933416,2,10500000,11584.49064
S,17115,9653,135165.8,10246000,10111,16943,GEL,5118.75,0.4375,4671,6247,19034,768,1625749.252,821279.0457,9622,165,0.1168,180.412,264.44,7221.311,977,2017,975.0085281,2,12200000,11689.02036
E,20327,10268,320455.6,18986000,9991,20199,GEL,7525.5,0.359375,4779,5065,11448,1080,1667392.765,847859.1618,9874,116,0.106,101.0763,269.48,7466.988091,4675,2017,982.8245468,1,5600000,8950.998686
E,20705,10261,540590.9,18366000,9985,20068,GEL,7866,0.359375,4642,5489,10104,888,1667382.335,847848.4213,9874,116,0.106,101.0763,269.48,7466.988091,4669,2017,982.8245468,2,8600000,8383.682102
E,19520,10174,293677.7,17604000,9870,19278,GEL,6982.5,0.359375,4510,4940,9117,840,1667371.873,847837.6448,9849,117,0.106,101.0763,268.98,7442.486386,4649,2017,1012.172908,2,7000000,7802.350411
E,19845,10195,508747.2,16964000,9869,19277,GEL,7206.75,0.34375,4493,4915,9720,720,1667358.135,847825.2249,9849,117,0.106,101.0763,268.98,7442.486386,NaN,2017,1026.744211,2,7000000,7663.428571
S,16974,9419,133018.5,10462000,9934,16747,GEL,5268,0.34375,4597,5976,11443,216,1617657.41,818310.7935,9527,165,0.1132,182.852,262.54,7129.443841,1829.5,2017,932.8380651,2,10400000,8768.810181
S,17718,9797,142812,11390000,10416,17554,GEL,5825.25,0.34375,4791,5941,12589,168,1617674.691,818316.4699,9527,165,0.1132,182.852,262.54,7129.443841,4485,2017,878.1484562,2,12100000,9766.854187
S,16925,9433,131411.8,10680000,10047,16760,GEL,5161.5,0.375,4377,5986,11906,432,1617693.062,818321.3353,9527,165,0.1132,182.852,262.54,7129.443841,4548,2017,932.8380651,1,9000000,8160.773071
S,17733,9790,143120.3,11398000,10367,17518,GEL,5807.25,0.3125,4904,5946,10726,240,1617712.541,818330.2251,9527,165,0.1132,182.852,262.54,7129.443841,595.5,2017,797.2692681,2,15200000,9943.906732
S,17655,9813,135192.6,10890000,9714,17490,GEL,5850.75,0.375,4640,5953,12588,216,1617731.982,818335.4794,9527,165,0.1132,182.852,262.54,7129.443841,4453,2017,797.2692681,2,10400000,8847.933005
P,19278,10576,378079,20128000,10988,19105,SLKW,6120.75,0.34375,5705,6133,11209,585,1706446.801,866411.8187,10526,73,0.1001,76.9396,282.52,8116.024455,5041,2017,1813.325889,1,15600000,12225.98785
P,19498,10930,379600,19950000,10921,19149,SLKW,6287.25,0.34375,5543,6339,9712,845,1706461.17,866416.7201,10526,73,0.1001,76.9396,282.52,8116.024455,5042,2017,1295.73815,2,8000000,10878.49327
P,20035,10928,509647,21644000,10995,19535,SLKW,6633,0.375,5438,6338,12171,1032,1706474.676,866422.6831,10526,73,0.1001,76.9396,282.52,8116.024455,1759,2017,1295.73815,1,9600000,13255.45057
P,16765,10496,NaN,11612000,10567,16589,SLKW,4480.5,0.375,3361,6088,6878,815,1645432.08,813744.064,10135,165,0.1093,175.2704,274.7,7724.482386,4725,2018,1482.879657,1,4200000,6347.041379
P,19368,10521,346734,19004000,11249,18810,SLKW,5979.75,0.34375,5669,5710,10908,833,1697111.608,852378.9691,10625,88,0.1004,79.1674,284.5,8216.264205,1298.5,2017,1360.070717,1,11600000,11216.30246
P,19267,10540,446814,19848000,11016,19067,SLKW,6086.4825,0.375,5226,5600,9655,1262,1697121.579,852390.0119,10625,88,0.1004,79.1674,284.5,8216.264205,5067.5,2017,1360.070717,2,8300000,10684.80033
P,17466,8974,403006,23784000,8720,17261,SLKW,6406.5,0.375,3771,5205,5407,1417,1583621.098,819019.2929,8588,149,0.0579,98.5749,243.76,6243.476,3944,2017,NaN,0,13100000,9754.309442
P,19298,10574,365507,19648000,11030,19128,SLKW,6064.5,0.34375,5176,5500,8620,868,1697133.325,852401.0039,10625,88,0.1004,79.1674,284.5,8216.264205,5085.5,2017,1380.167108,2,8400000,9337.892282
P,19553,12934,257212.6,15472000,12972,19359,SLKW,4725.75,0.21875,7761,NaN,6684,332,1783353.994,841511.006,12700,120,0.0502,55.8528,326,10419.77273,6060,2018,1449.736939,1,8400000,6637.497537
P,19365,12939,294062,14054000,13140,19208,SLKW,4443,0.3125,6694,7504,11381,562,1783369.01,841510.9858,12700,120,0.0502,55.8528,326,10419.77273,6106.5,2018,1449.736939,1,8000000,10878.49327
P,17445,10504,353051,11480000,10661,17045,SLKW,4916.25,0.375,3489,6092,6732,1019,1645443.042,813754.939,10135,165,0.1093,175.2704,274.7,7724.482386,4878.5,2018,1482.879657,1,3700000,5887.242365
E,18714,12992,259158,12946000,13007,18462,SLKW,4074.75,0.3125,6146,7536,8795,944,1788561.006,842369.9879,12821,122,0.0505,55.8265,328.42,10554.30548,6215.5,2018,1461.914064,1,4200000,8222.749754
E,17713,13000,206504,10434000,13142,17550,SLKW,3324,0.3125,5349,6503,7456,880,1788575.989,842370.0058,12821,122,0.0505,55.8265,328.42,10554.30548,6074.5,2018,1461.914064,1,3200000,7196.39376
P,17220,11085,265675,14286000,11130,17044,SLKW,4458.75,0.40625,3284,6429,6734,1285,1704796.391,855822.3983,10679,78,0.1001,74.9745,285.58,8271.128205,5018,2018,1505.132294,2,3500000,6818.799015
P,17145,11090,307374,13280000,11143,16964,SLKW,4336.5,0.34375,4911,6432,6756,1284,1704809.86,855827.3428,10679,78,0.1001,74.9745,285.58,8271.128205,5060,2018,1522.039848,1,5400000,8612.680131
E,20135,11632,NaN,NaN,11670,19993,,6242.25,0.375,3969,5299,8917,600,1715190.479,839934.518,11300,77,0.0839,56.7198,298,8911.590909,5513,2018,445.3973868,1,5300000,7257.544499
E,19807,11550,NaN,NaN,11590,17399,,5998.5,0.375,4370,6342,8561,420,1715196.831,839920.9428,11300,77,0.0839,56.7198,298,8911.590909,5607.5,2018,445.3973868,2,6400000,7979.653859
E,17720,11613,NaN,NaN,11589,17399,,4521,0.375,2872,4829,6476,588,1715203.183,839907.2948,11300,77,0.0839,56.7198,298,8911.590909,5482.5,2018,556.8690206,1,3000000,4852.10936
S,16499,9343,127116.7,9660000,9793,16327,GEL,4927.5,0.28125,4324,4850,7878,120,1612955.01,816734.0877,9400,168,0.11,180.7874,260,7007.272727,4491,2017,1808.519199,2,11900000,10516.1298
P,20421,10814,205848,10578000,10749,16074,SLKW,7116,0.375,4112,6272,9761,753,1733586.625,894050.012,10700,54,0.0742,68.7691,286,8292.5,4947.5,2018,1719.749969,1,7800000,8302.561248
P,19862,10840,422543,24366000,10863,19702,SLKW,6555.75,0.375,4911,6287,11613,714,1733601.847,894049.8991,10700,54,0.0742,68.7691,286,8292.5,5042.5,2018,1654.987743,2,12500000,11963.0936
P,18770,10790,265159,15076000,10878,18609,SLKW,5770.5,0.375,4119,6258,7143,1250,1668618.001,801827.9804,10685,123,0.0804,103.2897,285.7,8277.232386,5064.5,2018,1970.752518,1,4600000,7537.397373
P,17087,10577,251340,12836000,10539,16567,SLKW,4786.5,0.375,3995,6134,7491,1169,1647850,820214.9634,10062,174,0.115,185.1803,273.24,7652.151,2110.18,2018,NaN,0,6000000,6800.346798
P,18046,10545,299850,14742000,10509,17889,SLKW,5426.25,0.375,4501,6116,8504,1241,1650481.999,826853.0155,9971,173,0.1121,189.4856,271.42,7562.323659,4886.5,2018,NaN,0,8200000,9344.025287
E,19933,11230,547853.6,21476000,11316,19823,GEL,6414.75,0.328125,6795,7453,14125,NaN,1743815.783,873721.7422,11021,83,0.1001,58.7077,292.42,8621.678205,5182.5,2018,NaN,0,15400000,13319.86413
P,16807,10416,213991,10324000,10647,16655,SLKW,4507.5,0.28125,4407,6041,4082,784,1666186.967,812596.024,10471,141,0.0918,133.4995,281.42,8060.528205,2225.5,2018,1497.24739,1,3700000,5287.563875
P,16811,10407,406536,12184000,10674,16658,SLKW,4431.75,0.28125,4423,6036,3225,1229,1666209.73,812600.9805,10471,141,0.0918,133.4995,281.42,8060.528205,2229.5,2018,1497.24739,1,3100000,5402.40197
L,19085,12097,328799,13377820,12225,18753,SLKW,4896,0.265625,7425,7650,10500,1000,1689582,758409,12095,94,0.08,68,313.9,9757.091477,5236.5,2018,NaN,0,14800000,10629.71363
S,18011,9998,143057,10042000,10252,17835,GEL,5728.5,0.34375,4705,6222,11232,NaN,1625585.284,821465.9039,9600,164,0.1168,180.412,264,7200,4712.5,2018,936.24795,2,8900000,12897.422
S,17667,9995,142265.6,10876000,10257,17493,GEL,5613,0.34375,4761,6227,11329,336,1625614.106,821475.7214,9600,164,0.1168,180.412,264,7200,637.5,2018,936.24795,2,11500000,12488.37743
S,18000,10050,147165.5,10924000,10226,17809,GEL,5792.25,0.375,4516,6224,13433,240,1625642.034,821486.566,9600,164,0.1168,180.412,264,7200,1916.5,2018,957.8933127,2,14200000,12759.60633
L,19210,12635,81598,2996000,17603,19100,SLKW,1122.75,0.5625,1500,2400,8250,500,1743879.25,797941.26,12721,114,0.0816,66.4641,326.42,10443.07366,NaN,2018,1476.132943,1,4900000,6697.295895
L,19708,12656,331634,13146000,13292,19583,SLKW,4718.25,0.28125,8150,8250,14150,600,1743886.321,797922.0131,12721,114,0.0816,66.4641,326.42,10443.07366,2227.5,2018,1476.132943,1,16300000,12623.26338
P,14847,10415,117964,7974000,10486,14670,SLKW,3105.75,0.375,3272,6041,6338,992,1641259.001,812233.9768,10081,161,0.1112,175.319,273.62,7670.953659,4785,2018,1455.863095,1,3000000,4452.516585
P,14975,10489,134076,8898000,10543,14800,SLKW,3200.25,0.375,3618,6083,9723,969,1641272.987,812239.9857,10081,161,0.1112,175.319,273.62,7670.953659,4833,2018,1455.863095,1,3400000,5700.527422
P,19795,10508,156475,6394000,10915,19432,SLKW,6465,0.34375,6109,NaN,14298,413,1704246.864,865195.0498,10500,75,0.1001,78.8252,282,8089.772727,5073,2018,1835.921705,1,12200000,13904.72217
P,19695,10550,73442,6100000,11049,19345,SLKW,6393.75,0.3125,6119,NaN,11458,320,1704256.892,865197.8769,10500,75,0.1001,78.8252,282,8089.772727,5066.5,2018,1813.325889,2,10200000,11459.90378
